#,Paper,"Transformation name",Domain,"Transformation Language","Source language","Target language",Scope,Intent,"Intent relation",Industrial,Bidirectional,"Number of citations","Targeted year",Note
1,"Paper_1 - A Mapping Study of Software Causal Factors for Improving Maintenance","Test transformation 1",HOT,"ATL | Henshin | MoTiF",DSL,UML,Inplace,"Composition | Simulation",,No,Yes,147,2015,
2,"Paper_2 - A first systematic mapping study on combinatorial interaction testing for software product lines","Test transformation 2",E-commerce,ATL,SySML,Java,Exogenous,"Composition | Simulation | Migration",,Yes,No,180,2013,
3,"Paper_3 - A systematic literature review of literature reviews in software testing","Test transformation 3",E-commerce,ATL,DSL,Java,Inplace,Simulation,,No,No,170,2015,
4,"Paper_4 - A systematic mapping of data generation for integration software testing","Test transformation 4",Compilation,"ATL | Henshin | MoTiF",UML,Java,Outplace,Migration,,Yes,No,205,2013,
5,"Paper_5 - A systematic mapping study of software product lines testing","Test transformation 5","Collaborative system","ATL | Henshin",UML,Java,Exogenous,"Composition | Translation | Composition",,Yes,Yes,64,2015,
6,"Paper_6 - A systematic mapping study on non-functional search-based software testing","Test transformation 6",Compilation,"ATL | Henshin | MoTiF",Java,UML,Outplace,Composition,,No,No,114,2013,
7,"Paper_7 - A systematic mapping study on software engineering testbeds","Test transformation 7",E-commerce,ATL,DSL,Java,Outplace,Simulation,,Yes,No,52,2015,
8,"Paper_8 - Alignment of requirements specification and testing: A systematic mapping study","Test transformation 8",E-commerce,"ATL | Henshin | MoTiF",Java,UML,Outplace,"Migration | Simulation | Simulation",,Yes,No,69,2015,
9,"Paper_9 - Analyzing an automotive testing process with evidence-based software engineering","Test transformation 9",HOT,"ATL | Henshin",SySML,UML,Inplace,"Migration | Migration",,No,Yes,18,2015,
10,"Paper_10 - Challenges and opportunities for software change request repositories: A systematic mapping study","Test transformation 10",Compilation,"ATL | Henshin",SySML,Java,Inplace,Translation,,No,No,124,2016,
11,"Paper_11 - Change impact in product lines: A systematic mapping study","Test transformation 11",Compilation,"ATL | Henshin",DSL,Java,Inplace,"Simulation | Migration",,Yes,Yes,69,2016,
12,"Paper_12 - Characteristics, attributes, metrics and usability recommendations: A systematic mapping","Test transformation 12",E-commerce,ATL,DSL,UML,Inplace,"Composition | Composition",,Yes,No,173,2015,
13,"Paper_13 - Concurrent software testing in practice: A catalog of tools","Test transformation 13",E-commerce,ATL,Java,Java,Outplace,Translation,,No,Yes,78,2015,
14,"Paper_14 - Cost, benefits and quality of software development documentation: A systematic mapping","Test transformation 14",Compilation,ATL,SySML,SySML,Inplace,"Simulation | Composition | Simulation",,No,No,102,2015,
15,"Paper_15 - Empirical studies concerning the maintenance of UML diagrams and their use in the maintenance of code: A systematic mapping study","Test transformation 15",E-commerce,ATL,Java,UML,Outplace,"Translation | Simulation | Migration",,No,No,37,2015,
16,"Paper_16 - Evaluating software product quality: A systematic mapping study","Test transformation 16",HOT,"ATL | Henshin | MoTiF",Java,DSL,Exogenous,"Migration | Composition",,No,No,151,2014,
17,"Paper_17 - Feature location for software product line migration: A mapping study","Test transformation 17","Artificial Intelligence","ATL | Henshin",DSL,Java,Exogenous,"Migration | Composition",,No,Yes,8,2016,
