#,key,Title,Link,Abstract,Preview
1,paper_1,"5W+1H pattern: A perspective of systematic mapping studies and a case study on cloud software testing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923328222&partnerID=40&md5=ab9586291eb660686744b0d525513668,"<b>Key words:</b><br/>5W+1H pattern, Cloud software testing, Systematic mapping study <br/>",
2,paper_2,"A Mapping Study of Software Causal Factors for Improving Maintenance",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961661951&partnerID=40&md5=692d940e823529be710d2f4f2ee0307f,"<b>Key words:</b><br/>controlled experiments, defects, mapping study, Software maintenance, systematic literature review <br/>",
3,paper_3,"A first systematic mapping study on combinatorial interaction testing for software product lines",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934343294&partnerID=40&md5=ec6b20b311c1f97790d067319331ba4d,,
4,paper_4,"A systematic literature review of literature reviews in software testing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987968030&partnerID=40&md5=39f3eeecc191a79349289ea4d0d321f6,"<b>Key words:</b><br/>Secondary studies, Software testing, Surveys, Systematic literature reviews, Systematic mapping, Tertiary study <br/>",
5,paper_5,"A systematic mapping of data generation for integration software testing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988345153&partnerID=40&md5=f10417d2aad10c1c762d0ff6ba8926ac,,
6,paper_6,"A systematic mapping study of software product lines testing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952451558&partnerID=40&md5=a966054f3f281e0f2e4234c8bea7f399,"<b>Key words:</b><br/>Mapping study, Software product lines, Software testing <br/>",
7,paper_7,"A systematic mapping study on non-functional search-based software testing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952453274&partnerID=40&md5=0d3653455ce936d871b57b8f516b2988,,
8,paper_8,"A systematic mapping study on software engineering testbeds",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858737751&partnerID=40&md5=ea351c7fbb76a17afc002da9e7fa4d10,"<b>Key words:</b><br/>Empirical software engineering, Technology evaluation, Technology transfer, Testbeds <br/>",
9,paper_9,"Alignment of requirements specification and testing: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051659665&partnerID=40&md5=946d9ca5308f2b04884f4276b6c2a12e,,
10,paper_10,"Analyzing an automotive testing process with evidence-based software engineering",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877922741&partnerID=40&md5=b6dc2fcdca02a51db47c5925cfbaaa66,"<b>Key words:</b><br/>Automotive software testing, Evidence-based software engineering, Process assessment <br/>",
11,paper_11,"Challenges and opportunities for software change request repositories: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904626790&partnerID=40&md5=7e8fe6e32dba1cdb6f3f9a3e39b3fed1,"<b>Key words:</b><br/>bug report, bug tracking, change request repository, software evolution, software maintenance, software quality assurance <br/>",
12,paper_12,"Change impact in product lines: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988892509&partnerID=40&md5=e13d8fd1207f2f064c58fb7a85a09838,"<b>Key words:</b><br/>Change impact analysis, Embedded systems, Hardware/Software, Product family, Product line, Systematic mapping study <br/>",
13,paper_13,"Characteristics, attributes, metrics and usability recommendations: A systematic mapping",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966602566&partnerID=40&md5=7b11e8b0f75c1d4766c99f68b59e8772,"<b>Key words:</b><br/>Systematic Mapping, Usability Evaluation <br/>",
14,paper_14,"Concurrent software testing in practice: A catalog of tools",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960350804&partnerID=40&md5=5490f6be1c5b623eff6d7593c770b4cd,"<b>Key words:</b><br/>Concurrent programs, Systematic mapping, Testing tools <br/>",
15,paper_15,"Cost, benefits and quality of software development documentation: A systematic mapping",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912534729&partnerID=40&md5=5a2b8c80ac6e71817e1fa2ffb79f59fc,"<b>Key words:</b><br/>Documentation benefit, Software documentation, Systematic mapping <br/>",
16,paper_16,"Empirical studies concerning the maintenance of UML diagrams and their use in the maintenance of code: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877909370&partnerID=40&md5=b548f09fd4efa3d1319209f1db1125a6,"<b>Key words:</b><br/>Empirical studies, Software maintenance, Systematic literature review, Systematic mapping study, UML <br/>",
17,paper_17,"Evaluating software product quality: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924054129&partnerID=40&md5=19c52fa109db72d3bcb6b46d8b326ee1,,
18,paper_18,"Feature location for software product line migration: A mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907833307&partnerID=40&md5=48b514819a4aba2c01c7cea8bb911254,"<b>Key words:</b><br/>Evolution, Reengineering, Reuse, Software product line <br/>",
19,paper_19,"Graphical user interface (GUI) testing: Systematic mapping and repository",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880786120&partnerID=40&md5=6a4843e704cb6d905ce9da59d7d402ad,"<b>Key words:</b><br/>Bibliometrics, GUI application, Paper repository, Systematic mapping, Testing <br/>",
20,paper_20,"ISBSG variables most frequently used for software effort estimation: A mapping review",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907808906&partnerID=40&md5=cf63a03ed883a32324a27bd726f9a00e,"<b>Key words:</b><br/>ISBSG, missing values, software effort estimation, software engineering, systematic mapping study <br/>",
21,paper_21,"Knowledge management applied to software testing: A systematic mapping",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922663129&partnerID=40&md5=f38645ba853196e34678283ee883a71e,"<b>Key words:</b><br/>Knowledge management, Software testing, Systematic mapping <br/>",
22,paper_22,"Predicting software product quality: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943600627&partnerID=40&md5=27f0050c8409ce3cf88e684e2a45a4b4,"<b>Key words:</b><br/>Prediction, Software product quality, Systematic mapping study <br/>",
23,paper_23,"Reducing test effort: A systematic mapping study on existing approaches",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863453536&partnerID=40&md5=2d892e6bc6835d86cc6e6c508857db8f,"<b>Key words:</b><br/>Efficiency improvement, Mapping study, Quality assurance, Software testing, Test effort reduction <br/>",
24,paper_24,"Risk management in software product line engineering: A mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881014807&partnerID=40&md5=83fe16cebf1cd3ccebfb7b597fcd2cae,"<b>Key words:</b><br/>Mapping study, Risk management, Software product lines <br/>",
25,paper_25,"Software fault prediction: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936110818&partnerID=40&md5=f18253acbe762249e0a5803739257b51,"<b>Key words:</b><br/>Fault prediction models, Software metrics, Software quality <br/>",
26,paper_26,"Software product line testing - A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049529957&partnerID=40&md5=d0c91740e3fa70679e4560d266a06d48,"<b>Key words:</b><br/>Software product line testing, Systematic literature review, Systematic mapping, Testing <br/>",
27,paper_27,"Software quality requirements: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933501221&partnerID=40&md5=16c9a1d2da950000184c6347a78c4f83,"<b>Key words:</b><br/>Requirement engineering, Software quality requirements, Systematic mapping study <br/>",
28,paper_28,"Software test-code engineering: A systematic mapping",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914181487&partnerID=40&md5=c284c62c41ba472eab9a053ccbd08710,"<b>Key words:</b><br/>Development of test code, Quality assessment of test code, Software test-code engineering, Study repository, Survey, Systematic mapping <br/>",
29,paper_29,"Strategies for consistency checking on software product lines: A mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961159520&partnerID=40&md5=27caea57da59de999eb3c9a77aee00ed,"<b>Key words:</b><br/>Consistency checking, Literature review, Mapping study, Software product line engineering <br/>",
30,paper_30,"Systematic mapping study of quality attributes measurement in service oriented architecture",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866998707&partnerID=40&md5=a7fad9b2f2d879fe0b8d347d9936099b,"<b>Key words:</b><br/>Quality attributes measurement, service oriented architecture, systematic mapping study <br/>",
31,paper_31,"Ten years of research on fault management in grid computing: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908011115&partnerID=40&md5=2721d0954867de0184a7751167f088e8,,
32,paper_32,"Testability and software performance: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975789870&partnerID=40&md5=aa948ec1cf1aee77815cf56d0b933199,"<b>Key words:</b><br/>Software performance, Systematic mapping study, Testability <br/>",
33,paper_33,"The role of process in early software defect prediction: Methods, attributes and metrics",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994005243&partnerID=40&md5=aa6f7438c816fe1687d04b9c387b2b7d,"<b>Key words:</b><br/>Defect prediction, Early, Prediction model, Process metrics, Software defect, Software quality, Software reliability, Systematic mapping <br/>",
34,paper_34,"Usable results from the field of API usability: A systematic mapping and further analysis",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870895497&partnerID=40&md5=f9dac6e9ebcbd3d7c1d02844ae3aee4a,"<b>Key words:</b><br/>API usability, application programming interface, meta-analysis, systematic map, systematic review <br/>",
35,paper_35,"Validation of software visualization tools: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920660808&partnerID=40&md5=797cc12a015ec2d7ef9d22b3103e0bb5,"<b>Key words:</b><br/>Software visualization, Systematic mapping study, Validation techniques <br/>",
