#,key,Title,Link,Abstract,Preview
21,Paper_21,"5W+1H pattern: A perspective of systematic mapping studies and a case study on cloud software testing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923328222&amp;partnerID=40&amp;md5=ab9586291eb660686744b0d525513668,"<b>Authors:</b><br/>Jia C., Cai Y., Yu Y.T., Tse T.H. <br/><b>Key words:</b><br/>5W+1H pattern, Cloud software testing, Systematic mapping study <br/>",
22,Paper_22,"A Mapping Study of Software Causal Factors for Improving Maintenance",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961661951&partnerID=40&md5=692d940e823529be710d2f4f2ee0307f,"<b>Authors:</b><br/>Carroll C., Falessi D., Forney V., Frances A., Izurieta C., Seaman C. <br/><b>Key words:</b><br/>controlled experiments, defects, mapping study, Software maintenance, systematic literature review <br/>",
23,Paper_23,"A first systematic mapping study on combinatorial interaction testing for software product lines",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934343294&partnerID=40&md5=ec6b20b311c1f97790d067319331ba4d,"<b>Authors:</b><br/>Lopez-Herrejon R.E., Fischer S., Ramler R., Egyed A. <br/>",
24,Paper_24,"A systematic literature review of literature reviews in software testing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987968030&partnerID=40&md5=39f3eeecc191a79349289ea4d0d321f6,"<b>Authors:</b><br/>Garousi V., MÃ¤ntylÃ¤ M.V. <br/><b>Key words:</b><br/>Secondary studies, Software testing, Surveys, Systematic literature reviews, Systematic mapping, Tertiary study <br/>",
25,Paper_25,"A systematic mapping of data generation for integration software testing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988345153&partnerID=40&md5=f10417d2aad10c1c762d0ff6ba8926ac,"<b>Authors:</b><br/>Brito M.A.S., Santos M.P., Souza S.R.S., Souza P.S.L. <br/>",
26,Paper_26,"A systematic mapping study of software product lines testing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952451558&partnerID=40&md5=a966054f3f281e0f2e4234c8bea7f399,"<b>Authors:</b><br/>Da Mota Silveira Neto P.A., Carmo MacHado I.D., McGregor J.D., De Almeida E.S., De Lemos Meira S.R. <br/><b>Key words:</b><br/>Mapping study, Software product lines, Software testing <br/>",
27,Paper_27,"A systematic mapping study on non-functional search-based software testing",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952453274&partnerID=40&md5=0d3653455ce936d871b57b8f516b2988,"<b>Authors:</b><br/>Afzal W., Torkar R., Feldt R. <br/>",
28,Paper_28,"A systematic mapping study on software engineering testbeds",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858737751&partnerID=40&md5=ea351c7fbb76a17afc002da9e7fa4d10,"<b>Authors:</b><br/>Barreiros E., Almeida A., Saraiva J., Soares S. <br/><b>Key words:</b><br/>Empirical software engineering, Technology evaluation, Technology transfer, Testbeds <br/>",
29,Paper_29,"Alignment of requirements specification and testing: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051659665&partnerID=40&md5=946d9ca5308f2b04884f4276b6c2a12e,"<b>Authors:</b><br/>Barmi Z.A., Ebrahimi A.H., Feldt R. <br/>",
30,Paper_30,"Analyzing an automotive testing process with evidence-based software engineering",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877922741&partnerID=40&md5=b6dc2fcdca02a51db47c5925cfbaaa66,"<b>Authors:</b><br/>Kasoju A., Petersen K., MÃ¤ntylÃ¤ M.V. <br/><b>Key words:</b><br/>Automotive software testing, Evidence-based software engineering, Process assessment <br/>",
31,Paper_31,"Challenges and opportunities for software change request repositories: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904626790&partnerID=40&md5=7e8fe6e32dba1cdb6f3f9a3e39b3fed1,"<b>Authors:</b><br/>Cavalcanti Y.C., Da Mota Silveira Neto P.A., Machado I.D.C., Vale T.F., De Almeida E.S., Meira S.R.D.L. <br/><b>Key words:</b><br/>bug report, bug tracking, change request repository, software evolution, software maintenance, software quality assurance <br/>",
32,Paper_32,"Change impact in product lines: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988892509&partnerID=40&md5=e13d8fd1207f2f064c58fb7a85a09838,"<b>Authors:</b><br/>Brink C., Heisig P., Wackermann F. <br/><b>Key words:</b><br/>Change impact analysis, Embedded systems, Hardware/Software, Product family, Product line, Systematic mapping study <br/>",
33,Paper_33,"Characteristics, attributes, metrics and usability recommendations: A systematic mapping",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966602566&partnerID=40&md5=7b11e8b0f75c1d4766c99f68b59e8772,"<b>Authors:</b><br/>Nissola F., Benitti F.B.V. <br/><b>Key words:</b><br/>Systematic Mapping, Usability Evaluation <br/>",
34,Paper_34,"Concurrent software testing in practice: A catalog of tools",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960350804&partnerID=40&md5=5490f6be1c5b623eff6d7593c770b4cd,"<b>Authors:</b><br/>Melo S.M., Souza S.R.S., Silva R.A., Souza P.S.L. <br/><b>Key words:</b><br/>Concurrent programs, Systematic mapping, Testing tools <br/>",
35,Paper_35,"Cost, benefits and quality of software development documentation: A systematic mapping",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912534729&partnerID=40&md5=5a2b8c80ac6e71817e1fa2ffb79f59fc,"<b>Authors:</b><br/>Zhi J., Garousi-Yusifo?lu V., Sun B., Garousi G., Shahnewaz S., Ruhe G. <br/><b>Key words:</b><br/>Documentation benefit, Software documentation, Systematic mapping <br/>",
36,Paper_36,"Empirical studies concerning the maintenance of UML diagrams and their use in the maintenance of code: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877909370&partnerID=40&md5=b548f09fd4efa3d1319209f1db1125a6,"<b>Authors:</b><br/>FernÃ¡ndez-SÃ¡ez A.M., Genero M., Chaudron M.R.V. <br/><b>Key words:</b><br/>Empirical studies, Software maintenance, Systematic literature review, Systematic mapping study, UML <br/>",
37,Paper_37,"Evaluating software product quality: A systematic mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924054129&partnerID=40&md5=19c52fa109db72d3bcb6b46d8b326ee1,"<b>Authors:</b><br/>Ouhbi S., Idri A., Aleman J.L.F., Toval A. <br/>",
38,Paper_38,"Feature location for software product line migration: A mapping study",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907833307&partnerID=40&md5=48b514819a4aba2c01c7cea8bb911254,"<b>Authors:</b><br/>AssunÃ§Ã£o W.K.G., Vergilio S.R. <br/><b>Key words:</b><br/>Evolution, Reengineering, Reuse, Software product line <br/>",
40,Paper_40,"ISBSG variables most frequently used for software effort estimation: A mapping review",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907808906&partnerID=40&md5=cf63a03ed883a32324a27bd726f9a00e,"<b>Authors:</b><br/>Gonzalez-Ladron-De-Guevara F., FernÃ¡ndez-Diego M. <br/><b>Key words:</b><br/>ISBSG, missing values, software effort estimation, software engineering, systematic mapping study <br/>",
