#,key,Title,Link,Preview,Abstract,Year,Bibtex
1,paper_1,"A graph transformation-based approach for applying MDA to SOA",http://www.scopus.com/inward/record.url?eid=2-s2.0-77949810823&partnerID=40&md5=bd3a7e885e4be05ab4e2a8ba4dc0b8c8,"<b>Authors:</b><br/>Taghizadeh F., Taghizadeh S.R. <br/><b>Key words:</b><br/>Aspects and Jini; MDA; Middleware transparency; Model transformation; SDM; SOA <br/>","Although Model Driven Architecture has taken successful steps toward model-based software development, this approach still faces complex situations and ambiguous questions while applying to real world software systems. One of these questions - which has taken the most interest and focus - is how model transforms between different abstraction levels, MDA proposes. In this paper, we propose an approach based on Story Driven Modeling and Aspect Oriented Programming to ease these transformations. Service Oriented Architecture is taken as the target model to test the proposed mechanism in a functional system. _ 2009 IEEE.",2009,
2,paper_2,"A metamodeling approach to transform uml 2.0 sequence diagrams to petri nets",http://www.scopus.com/inward/record.url?eid=2-s2.0-62849114190&partnerID=40&md5=8326193c3aec58beb72a0659f9274efc,"<b>Authors:</b><br/>Dos Santos Soares M., Vrancken J. <br/><b>Key words:</b><br/>Formal Methods; Model Driven Engineering; Model Transformations; Petri nets; Sequence Diagrams <br/>","The paper presents transformations from UML 2.0 Sequence Diagrams to Time Petri nets with inhibitor arcs. The transformation is not restricted to messages calls and responses, hit also to some of the new Sequence Diagrams operators. This model-to-model transformation is based on metamodels and is tiseful to improve semantics, as Petri nets can be executed by simtilation and formally proved. The advantages of this mtilti-formalism approach are that different views are represented, complex systems development is done based on several levels of detail, and complexity is managed with abstraction and modtilarization.",2008,
3,paper_3,"A model driven engineering design approach for developing multi-platform user interfaces",http://www.scopus.com/inward/record.url?eid=2-s2.0-77954736681&partnerID=40&md5=74244f76e8f605edde6c0a0367af1e4f,"<b>Authors:</b><br/>Saleh E., Kamel A., Fahmy A. <br/><b>Key words:</b><br/>ConcurTaskTrees; Dialog model; Model-based user interface design; StateCharts; UsiXML <br/>","The wide variety of interactive devices and modalities an interactive system must support has created a big challenge in designing a multi-platform user interface and poses a number of issues for the design cycle of interactive systems. Model-Based User Interface Design (MBUID) approaches can provide a useful support in addressing this problem. In MBUID the user interface is described using various models; each describes a different facet of the user interface. Our methodology is based on task models that are attributed to derive a dialog model, from which different concrete models with different appearances can be generated. This paper presents a semi-automatic Model-Based transformational methodology for multi-platform user interface (MPUI) design. The proposed methodology puts dialog modeling in the center of the design process. A core model is integrated in the design process namely our Dialog-States Model (DSM); which represents our initial step to adapting to multiple target platforms by assigning multiple Dialog- State models to the same task model. A multi-step reification process will be taken from abstract models to more concrete models until reaching a final user interface customized according to the target platform.",2010,
4,paper_4,"autoHMI: a model driven software engineering approach for HMIs in process industries",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=5952755,"<b>Authors:</b><br/>Urbas, L., Doherr, F. <br/>","In process industries the Human Machine Interfaces (HMI) for the Supervisory Control Systems are built at the very end of the planning phase because of the many interdependencies of engineering data. These HMIs consist of a hierarchy of graphical displays that illustrate the chemical process and its automation system. Today, these displays are derived manually from the plant\'s piping and instrumentation diagrams (P&ID) and other sources. We present a model driven software engineering solution to automatically generate the HMI directly from engineering data. At the core of the algorithm there are two models - a concept and task model describing the process and its structure, and an abstract HMI-model describing the interaction space. This article describes the design and structure of these models as well as the chain of transformations that are necessary to generate supervisory control HMIs for the process industries. A case study shows the scope and limitations of this approach.",2011,
5,paper_6,"A semi-automatic approach for bridging DSMLs with UML",http://www.scopus.com/inward/record.url?eid=2-s2.0-84886390835&partnerID=40&md5=a3ca4ddca108092ed29f4b929028ed54,"<b>Authors:</b><br/>Wimmer M. <br/><b>Key words:</b><br/>Information modelling; Open systems; Software tools <br/>","Purpose - The definition of modeling languages is a key-prerequisite for model-driven engineering. In this respect, Domain-Specific Modeling Languages (DSMLs) defined from scratch in terms of metamodels and the extension of Unified Modeling Language (UML) by profiles are the proposed options. For interoperability reasons, however, the need arises to bridge modeling languages originally defined as DSMLs to UML. Therefore, the paper aims to propose a semi-automatic approach for bridging DSMLs and UML by employing model-driven techniques. Design/methodology/approach - The paper discusses problems of the ad hoc integration of DSMLs and UML and from this discussion a systematic and semi-automatic integration approach consisting of two phases is derived. In the first phase, the correspondences between the modeling concepts of the DSML and UML are defined manually. In the second phase, these correspondences are used for automatically producing UML profiles to represent the domain-specific modeling concepts in UML and model transformations for transforming DSML models to UML models and vice versa. The paper presents the ideas within a case study for bridging ComputerAssociate\'s DSML of the AllFusion Gen CASE tool with IBM\'s Rational Software Modeler for UML. Findings - The ad hoc definition of UML profiles and model transformations for achieving interoperability is typically a tedious and error-prone task. By employing a semi-automatic approach one gains several advantages. First, the integrator only has to deal with the correspondences between the DSML and UML on a conceptual level. Second, all repetitive integration tasks are automated by using model transformations. Third, well-defined guidelines support the systematic and comprehensible integration. Research limitations/implications - The paper focuses on the integrating direction DSMLs to UML, but not on how to derive a DSML defined in terms of a metamodel from a UML profile. Originality/value - Although, DSMLs defined as metamodels and UML profiles are frequently applied in practice, only few attempts have been made to provide interoperability between these two worlds. The contribution of this paper is to integrate the so far competing worlds of DSMLs and UML by proposing a semi-automatic approach, which allows exchanging models between these two worlds without loss of information. _ Emerald Group Publishing Limited.",2009,
6,paper_9,"Automated middleware QoS configuration techniques using model transformations",http://www.scopus.com/inward/record.url?eid=2-s2.0-52049106833&partnerID=40&md5=285b91b650436f428cbc92d0f33fdc0d,"<b>Authors:</b><br/>Kavimandan A., Gokhale A. <br/>","This paper provides following three contributions to the study of developing and applying model driven engineering (MDE) techniques to Quality of Service (QoS) configuration of distributed real-time and embedded (DRE) systems. First, we describe the challenges associated with mapping domain-level QoS policies of DRE systems to middleware configuration space. Second, we discuss a domain specific modeling language (DSML) to capture QoS requirements of DRE system at a higher level of abstraction, simplifying the system QoS specification process. Third, we describe model transformations to automate the mapping of domain-specific QoS requirements.Our results indicate that our approach provides significant benefits in terms of productivity, scalability, reusability and automation of middleware QoS mapping compared to traditional QoS configuration techniques for publish/subscribe-based DRE systems. _2008 IEEE.",2007,
7,paper_10,"Automatic prototyping in model-driven game development",http://www.scopus.com/inward/record.url?eid=2-s2.0-67949106324&partnerID=40&md5=5873243a917bb524b551c65338a3ea36,"<b>Authors:</b><br/>Reyno E.M., Carsi Cubel J. <br/><b>Key words:</b><br/>Game development; Game prototyping; Model-driven engineering; Model-driven game development <br/>","Model-driven game development (MDGD) is an emerging paradigm where models become first-order elements in game development, maintenance, and evolution. In this article, we present a first approach to 2D platform game prototyping automatization through the use of model-driven engineering (MDE). Platform-independent models (PIM) define the structure and the behavior of the games and a platform-specific model (PSM) describes the game control mapping. Automatic MOFscript transformations from these models generate the software prototype code in C++. As an example, Bubble Bobble has been prototyped in a few hours following the MDGD approach. The resulting code generation represents 93% of the game prototype.",2009,
8,paper_11,"Bridging WebML to model-driven engineering: From document type definitions to meta object facility",http://www.scopus.com/inward/record.url?eid=2-s2.0-34250784598&partnerID=40&md5=22d2a2cdc74c7c7665d20835c16325ee,"<b>Authors:</b><br/>Schauerhuber A., Wimmer M., Kapsammer E., Schwinger W., Retschitzegger W. <br/>","Meta-models are a prerequisite for model-driven engineering (MDE) in general and consequently for model-driven web engineering in particular. Various web modelling languages, however, are not based on meta-models and standards, like object management group\'s prominent meta object facility (MOF). Instead they define proprietary languages rather focused on notational aspects. Thus, MDE techniques and tools cannot be deployed for such languages preventing to exploit the full potential of MDE in terms of standardised storage, exchange and transformation of models. The WebML web modelling language is one example that does not yet rely on an explicit meta-model in the sense of MDE. Instead, it is defined in terms of a document type definition (DTD), and implicitly within the accompanying tool. Code generation then has to rely on model-to-code transformations based of extensible stylesheet language transformations (XSLT). We propose a meta-model for WebML to bridge WebML to MDE. To establish such a meta-model, instead of remodelling WebML\'s meta-model from scratch, a semi-automatic approach is provided that allows generating MOF-based meta-models on the basis of DTDs. The meta-model for WebML accomplishes the following aims: first, it represents an initial step towards a transition to employ MDE techniques within the WebML design methodology. Second, the provision of a MOF-based meta-model ensures interoperability with other MDE tools. Third, it represents an important step towards a common meta-model for Web modelling in future. _ The Institution of Engineering and Technology 2007.",2007,
9,paper_12,"Customisable model transformations based on non-functional requirements",http://www.scopus.com/inward/record.url?eid=2-s2.0-51749118704&partnerID=40&md5=86ed22fecaeef136ee8a5356b562494c,"<b>Authors:</b><br/>Sterritt A., Cahill V. <br/>","The Model-to-Model (M2M) transformation stage in a Model-Driven Engineering (MDE) tool chain is used to bridge the large semantic gap between problem-domain abstractions and software artefacts. This transformation is typically specified in a closed, monolithic way. Since no two systems have identical requirements, some work has been done to create explicit support for customisation of the transformation process based on functional requirements. The same is not true for non-functional requirements. The contribution of this paper is a customizable M2M transformation process that takes as an input the users priorities, in terms of non-functional properties, to select between design trade-offs in the transformation. These trade-offs are expressed as contrasting architectural styles, which describe common patterns of interactions and constraints with well understood non-functional implications. The target of the M2M transformation is an Architecture Description Language (ADL) that can be used to express styles. Model checking tools can be used to ensure that styles are adhered to during the entire MDE process. This early work focuses on describing contrasting architectural styles that address distribution issues, such as fault tolerance. _ 2008 IEEE.",2008,
10,paper_13,"Deriving multi-agent system behavior",http://www.scopus.com/inward/record.url?eid=2-s2.0-84884544209&partnerID=40&md5=b50eb063699a17d3e7b5f71c9c8137ae,"<b>Authors:</b><br/>Harbouche A., Erradi M., Mokhtari A. <br/><b>Key words:</b><br/>Behavior; Computational independent model; Derivation; Model driven engineering; Model to model transformation <br/>","The multi-agent systems (MAS) have become a very powerful paradigm in the development of complex computer systems. The modeling of these systems can reduce this complexity during the development phases. The Model-Driven Architecture (MDA) approach can be used to resolve this problem. It allows designers to model their systems at different abstraction levels, providing them with automatic model transformations to incrementally refine abstract models into concrete ones. This paper presents a MDA approach to develop multi-agent system with the derivation of the behavior of a given system agent from its global requirements. The suggested approach is based on the definition of an appropriate requirements meta-model (Computational Independent Meta-Model CIMM) and the definition of a target design meta-model (Platform Independent Meta-model PIMM). The CIM models are specified using UML activity diagram extended with collaborations to describe the system global behavior. The agent\'s behavior model (PIM) is in the form of distributed UML state machines. Automatic model transformations between these two models have been designed in order to govern the derivation process. A real application of telediagnosis in neuroscience has been developed using this approach.",2013,
