nbr,Key,Title,"Publication year",Author/s,Venue,Source,"Search Type",Reviewer/s,"Template style","Comment for Template style","Design-time input type","Comment for Design-time input type",Tool,"Comment for tool","Run-time input type","Comment for Run-time input type","Output type","Comment for output_type",MDE,Context,Validation,"Application scale","Application domain",Orientation,"Publication type","Venue type","Publication name",Year,Notes
1,paper_1,"A Model-Driven Framework for Aspect Weaver Construction",2011,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Acceleo,,"General purpose","UML diagrams","Source code",Any,Yes,Last,Benchmark,"Large scale",Aspect-oriented,Industry,Journal,SE,TAOSD,2011,
2,paper_2,"On the Use of Signatures for Source Incremental Model-to-text Transformation",2014,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Acceleo,,"General purpose","UML diagrams","Natural language",,Yes,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,MDE,MODELS,2014,
3,paper_3,"A Reflective Approach to Model-Driven Web Engineering",2010,,,,,Admin,Output-based,"Visible template","General purpose","UML ",EGL,,"General purpose","UML diagrams","Structured data",HTML,Yes,Standalone,Benchmark,"Large scale","Web technology",Academic,Conference,MDE,ECMFA,2010,
4,paper_4,"Umbra designer: Graphical modelling for telephony services. ",2013,,,,,Admin,Output-based,"Not shown","Domain specific",UML,EGL,,"Domain specific","Umbra model","Source code","Mavin code",Yes,Intermediate,Benchmark,"Large scale",Networking,Industry,Conference,MDE,ECMFA,2013,
5,paper_5,"Property Access Traces for Source Incremental Model-to-Text Transformation",2015,,,,,Admin,Output-based,"Visible template","General purpose","UML ",EGL,,"General purpose","Class diagram","Natural language",,Yes,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,MDE,ECMFA,2015,
6,paper_6,"A Model-Driven Development Method for Applying to Management Information Systems",2013,,,,,Admin,Output-based,"Not shown","General purpose","UML ",JET,,"General purpose","UML diagrams","Source code","CAST code",Yes,Intermediate,Benchmark,"Large scale","Software engineering",Academic,Conference,Other,IC3K,2013,
7,paper_7,"Automated analysis and code generation for domain-specific models.",2012,,,,,Admin,Output-based,"Not shown","Domain specific",,JET,,"Domain specific",,"Structured data","Myx model",Yes,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,SE,ECSA,2012,
8,paper_8,"Embedding Foreign Code",2014,,,,,Admin,Predefined,"Not shown","Programming Language",,Other,Accelerate,"Source code","CUDA code","Source code",C,No,Standalone,Benchmark,"Large scale","Prog. Lang",Academic,Conference,Other,PADL,2014,
9,paper_9,"AUGEM: Automatically generate high performance Dense Linear Algebra kernels on x86 CPUs",2013,,,,,Admin,Predefined,"Not visible to user","Programming Language",,Other,AUGEM,"Source code",C,"Source code","Assembly code",No,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,SE,SC,2013,
10,paper_10,"Certifiable program generation",2005,,,,,Admin,Output-based,"template plus a set of constraints. There is a certification process between the generation of the code and its delivery to output","Domain specific",,Other,AutoBayes,"Domain specific","The model type is not specified by the authors","Source code"," Ada, C,Modula-2",No,Standalone,Benchmark,"Large scale","Software engineering",Industry,Conference,SE,GPCE,2005,
11,paper_11,"Cross-Platform Application Development Using AXIOM as an Agile Model-Driven Approach",2013,,,,,Admin,Output-based,"Visible template","Domain specific",,Other,AXIOM,"Domain specific",,"Source code",Any,Yes,Standalone,Benchmark,"Large scale","Software engineering",Academic,Journal,SE,SDT,2013,
12,paper_12,"Using a Domain specific Language for Lightweight Model-Driven Development",2015,,,,,Admin,Output-based,"Visible template","Domain specific",,Other,AXIOM,"Domain specific",,"Source code",Java,Yes,Standalone,Benchmark,"Large scale","Software engineering",Academic,Conference,SE,ENASE,2015,
13,paper_13,"A Program Generator for Intel AES-NI Instructions",2010,,,,,Admin,Output-based,"Not shown","Programming Language",,Other,Cheetah,"Source code",,"Structured data",,No,Intermediate,Benchmark,"No application",Compiler,Academic,Conference,Other,INDOCRYPT,2010,
14,paper_14,"Semi-Automatic Generation of Device Drivers for Rapid Embedded Platform Development",2013,,,,,Admin,Predefined,"template is made up of sort of little code with empty space where code gets dumped.","Programming Language",,Other,"D2 Gen","Source code","VHDL+SystemC are translated to HIF","Source code",C,No,Last,Benchmark,"Small scale","Embedded systems",Academic,Journal,Other,TCADICS,2013,
